nohup: ignoring input
Number of parameter:  74.51M

  0%|                                                                                                      | 0/98 [00:00<?, ?it/s]
TRAIN (0) | Loss: 3.190 | Acc 0.402 mIoU 0.215:  23%|██████████▌                                  | 23/98 [01:23<04:26,  3.55s/it]
TRAIN (0) | Loss: 3.166 | Acc 0.409 mIoU 0.219:  23%|██████████▌                                  | 23/98 [01:26<04:26,  3.55s/it]
TRAIN (0) | Loss: 3.166 | Acc 0.409 mIoU 0.219:  24%|███████████                                  | 24/98 [01:26<04:09,  3.36s/it]
TRAIN (0) | Loss: 3.130 | Acc 0.421 mIoU 0.226:  24%|███████████                                  | 24/98 [01:30<04:09,  3.36s/it]
TRAIN (0) | Loss: 3.130 | Acc 0.421 mIoU 0.226:  26%|███████████▍                                 | 25/98 [01:30<04:22,  3.60s/it]
TRAIN (0) | Loss: 3.101 | Acc 0.430 mIoU 0.231:  26%|███████████▍                                 | 25/98 [01:33<04:22,  3.60s/it]
TRAIN (0) | Loss: 3.101 | Acc 0.430 mIoU 0.231:  27%|███████████▉                                 | 26/98 [01:33<04:06,  3.42s/it]
TRAIN (0) | Loss: 3.055 | Acc 0.442 mIoU 0.239:  27%|███████████▉                                 | 26/98 [01:36<04:06,  3.42s/it]
TRAIN (0) | Loss: 3.055 | Acc 0.442 mIoU 0.239:  28%|████████████▍                                | 27/98 [01:36<03:56,  3.33s/it]
TRAIN (0) | Loss: 3.033 | Acc 0.448 mIoU 0.242:  28%|████████████▍                                | 27/98 [01:40<03:56,  3.33s/it]
TRAIN (0) | Loss: 3.033 | Acc 0.448 mIoU 0.242:  29%|████████████▊                                | 28/98 [01:40<04:07,  3.53s/it]
TRAIN (0) | Loss: 3.004 | Acc 0.456 mIoU 0.248:  29%|████████████▊                                | 28/98 [01:43<04:07,  3.53s/it]
TRAIN (0) | Loss: 3.004 | Acc 0.456 mIoU 0.248:  30%|█████████████▎                               | 29/98 [01:43<03:54,  3.40s/it]
TRAIN (0) | Loss: 2.984 | Acc 0.461 mIoU 0.251:  30%|█████████████▎                               | 29/98 [01:46<03:54,  3.40s/it]
TRAIN (0) | Loss: 2.984 | Acc 0.461 mIoU 0.251:  31%|█████████████▊                               | 30/98 [01:46<03:45,  3.31s/it]
TRAIN (0) | Loss: 2.957 | Acc 0.468 mIoU 0.256:  31%|█████████████▊                               | 30/98 [01:50<03:45,  3.31s/it]
TRAIN (0) | Loss: 2.957 | Acc 0.468 mIoU 0.256:  32%|██████████████▏                              | 31/98 [01:50<03:45,  3.36s/it]
TRAIN (0) | Loss: 2.928 | Acc 0.476 mIoU 0.261:  32%|██████████████▏                              | 31/98 [01:53<03:45,  3.36s/it]
TRAIN (0) | Loss: 2.928 | Acc 0.476 mIoU 0.261:  33%|██████████████▋                              | 32/98 [01:53<03:35,  3.27s/it]
TRAIN (0) | Loss: 2.916 | Acc 0.479 mIoU 0.263:  33%|██████████████▋                              | 32/98 [01:57<03:35,  3.27s/it]
TRAIN (0) | Loss: 2.916 | Acc 0.479 mIoU 0.263:  34%|███████████████▏                             | 33/98 [01:57<03:46,  3.48s/it]
TRAIN (0) | Loss: 2.888 | Acc 0.488 mIoU 0.269:  34%|███████████████▏                             | 33/98 [02:01<03:46,  3.48s/it]
TRAIN (0) | Loss: 2.888 | Acc 0.488 mIoU 0.269:  35%|███████████████▌                             | 34/98 [02:01<03:51,  3.62s/it]
TRAIN (0) | Loss: 2.878 | Acc 0.492 mIoU 0.272:  35%|███████████████▌                             | 34/98 [02:04<03:51,  3.62s/it]
TRAIN (0) | Loss: 2.878 | Acc 0.492 mIoU 0.272:  36%|████████████████                             | 35/98 [02:04<03:34,  3.40s/it]
TRAIN (0) | Loss: 2.860 | Acc 0.497 mIoU 0.276:  36%|████████████████                             | 35/98 [02:07<03:34,  3.40s/it]
TRAIN (0) | Loss: 2.860 | Acc 0.497 mIoU 0.276:  37%|████████████████▌                            | 36/98 [02:07<03:24,  3.31s/it]
TRAIN (0) | Loss: 2.839 | Acc 0.504 mIoU 0.281:  37%|████████████████▌                            | 36/98 [02:10<03:24,  3.31s/it]
TRAIN (0) | Loss: 2.839 | Acc 0.504 mIoU 0.281:  38%|████████████████▉                            | 37/98 [02:10<03:15,  3.21s/it]
TRAIN (0) | Loss: 2.828 | Acc 0.508 mIoU 0.284:  38%|████████████████▉                            | 37/98 [02:13<03:15,  3.21s/it]
TRAIN (0) | Loss: 2.828 | Acc 0.508 mIoU 0.284:  39%|█████████████████▍                           | 38/98 [02:13<03:09,  3.16s/it]
TRAIN (0) | Loss: 2.803 | Acc 0.515 mIoU 0.290:  39%|█████████████████▍                           | 38/98 [02:16<03:09,  3.16s/it]
TRAIN (0) | Loss: 2.803 | Acc 0.515 mIoU 0.290:  40%|█████████████████▉                           | 39/98 [02:16<03:05,  3.15s/it]
TRAIN (0) | Loss: 2.789 | Acc 0.519 mIoU 0.293:  40%|█████████████████▉                           | 39/98 [02:19<03:05,  3.15s/it]
TRAIN (0) | Loss: 2.789 | Acc 0.519 mIoU 0.293:  41%|██████████████████▎                          | 40/98 [02:19<03:08,  3.25s/it]
TRAIN (0) | Loss: 2.771 | Acc 0.524 mIoU 0.296:  41%|██████████████████▎                          | 40/98 [02:23<03:08,  3.25s/it]
TRAIN (0) | Loss: 2.771 | Acc 0.524 mIoU 0.296:  42%|██████████████████▊                          | 41/98 [02:23<03:11,  3.35s/it]
TRAIN (0) | Loss: 2.758 | Acc 0.527 mIoU 0.300:  42%|██████████████████▊                          | 41/98 [02:27<03:11,  3.35s/it]
TRAIN (0) | Loss: 2.758 | Acc 0.527 mIoU 0.300:  43%|███████████████████▎                         | 42/98 [02:27<03:21,  3.60s/it]
TRAIN (0) | Loss: 2.748 | Acc 0.530 mIoU 0.303:  43%|███████████████████▎                         | 42/98 [02:31<03:21,  3.60s/it]
TRAIN (0) | Loss: 2.748 | Acc 0.530 mIoU 0.303:  44%|███████████████████▋                         | 43/98 [02:31<03:13,  3.52s/it]
TRAIN (0) | Loss: 2.748 | Acc 0.531 mIoU 0.302:  44%|███████████████████▋                         | 43/98 [02:35<03:13,  3.52s/it]
TRAIN (0) | Loss: 2.748 | Acc 0.531 mIoU 0.302:  45%|████████████████████▏                        | 44/98 [02:35<03:21,  3.72s/it]
TRAIN (0) | Loss: 2.734 | Acc 0.534 mIoU 0.305:  45%|████████████████████▏                        | 44/98 [02:38<03:21,  3.72s/it]
TRAIN (0) | Loss: 2.734 | Acc 0.534 mIoU 0.305:  46%|████████████████████▋                        | 45/98 [02:38<03:06,  3.53s/it]
TRAIN (0) | Loss: 2.729 | Acc 0.536 mIoU 0.306:  46%|████████████████████▋                        | 45/98 [02:42<03:06,  3.53s/it]
TRAIN (0) | Loss: 2.729 | Acc 0.536 mIoU 0.306:  47%|█████████████████████                        | 46/98 [02:42<03:17,  3.80s/it]
TRAIN (0) | Loss: 2.713 | Acc 0.540 mIoU 0.309:  47%|█████████████████████                        | 46/98 [02:45<03:17,  3.80s/it]
TRAIN (0) | Loss: 2.713 | Acc 0.540 mIoU 0.309:  48%|█████████████████████▌                       | 47/98 [02:45<03:02,  3.58s/it]
TRAIN (0) | Loss: 2.700 | Acc 0.543 mIoU 0.311:  48%|█████████████████████▌                       | 47/98 [02:48<03:02,  3.58s/it]
TRAIN (0) | Loss: 2.700 | Acc 0.543 mIoU 0.311:  49%|██████████████████████                       | 48/98 [02:48<02:48,  3.38s/it]
TRAIN (0) | Loss: 2.689 | Acc 0.547 mIoU 0.313:  49%|██████████████████████                       | 48/98 [02:52<02:48,  3.38s/it]
TRAIN (0) | Loss: 2.689 | Acc 0.547 mIoU 0.313:  50%|██████████████████████▌                      | 49/98 [02:52<02:55,  3.58s/it]
TRAIN (0) | Loss: 2.678 | Acc 0.549 mIoU 0.316:  50%|██████████████████████▌                      | 49/98 [02:55<02:55,  3.58s/it]
TRAIN (0) | Loss: 2.678 | Acc 0.549 mIoU 0.316:  51%|██████████████████████▉                      | 50/98 [02:55<02:43,  3.40s/it]
TRAIN (0) | Loss: 2.666 | Acc 0.552 mIoU 0.318:  51%|██████████████████████▉                      | 50/98 [02:59<02:43,  3.40s/it]
TRAIN (0) | Loss: 2.666 | Acc 0.552 mIoU 0.318:  52%|███████████████████████▍                     | 51/98 [02:59<02:40,  3.42s/it]
TRAIN (0) | Loss: 2.667 | Acc 0.553 mIoU 0.318:  52%|███████████████████████▍                     | 51/98 [03:02<02:40,  3.42s/it]
TRAIN (0) | Loss: 2.667 | Acc 0.553 mIoU 0.318:  53%|███████████████████████▉                     | 52/98 [03:02<02:32,  3.31s/it]
TRAIN (0) | Loss: 2.655 | Acc 0.557 mIoU 0.321:  53%|███████████████████████▉                     | 52/98 [03:06<02:32,  3.31s/it]
TRAIN (0) | Loss: 2.655 | Acc 0.557 mIoU 0.321:  54%|████████████████████████▎                    | 53/98 [03:06<02:36,  3.47s/it]
TRAIN (0) | Loss: 2.645 | Acc 0.559 mIoU 0.323:  54%|████████████████████████▎                    | 53/98 [03:09<02:36,  3.47s/it]
TRAIN (0) | Loss: 2.645 | Acc 0.559 mIoU 0.323:  55%|████████████████████████▊                    | 54/98 [03:09<02:37,  3.58s/it]
TRAIN (0) | Loss: 2.633 | Acc 0.561 mIoU 0.324:  55%|████████████████████████▊                    | 54/98 [03:12<02:37,  3.58s/it]
TRAIN (0) | Loss: 2.633 | Acc 0.561 mIoU 0.324:  56%|█████████████████████████▎                   | 55/98 [03:12<02:25,  3.38s/it]
TRAIN (0) | Loss: 2.625 | Acc 0.563 mIoU 0.325:  56%|█████████████████████████▎                   | 55/98 [03:16<02:25,  3.38s/it]
TRAIN (0) | Loss: 2.625 | Acc 0.563 mIoU 0.325:  57%|█████████████████████████▋                   | 56/98 [03:16<02:24,  3.45s/it]
TRAIN (0) | Loss: 2.614 | Acc 0.566 mIoU 0.327:  57%|█████████████████████████▋                   | 56/98 [03:19<02:24,  3.45s/it]
TRAIN (0) | Loss: 2.614 | Acc 0.566 mIoU 0.327:  58%|██████████████████████████▏                  | 57/98 [03:19<02:16,  3.33s/it]
TRAIN (0) | Loss: 2.612 | Acc 0.567 mIoU 0.328:  58%|██████████████████████████▏                  | 57/98 [03:22<02:16,  3.33s/it]
TRAIN (0) | Loss: 2.612 | Acc 0.567 mIoU 0.328:  59%|██████████████████████████▋                  | 58/98 [03:22<02:10,  3.25s/it]
TRAIN (0) | Loss: 2.600 | Acc 0.570 mIoU 0.331:  59%|██████████████████████████▋                  | 58/98 [03:25<02:10,  3.25s/it]
TRAIN (0) | Loss: 2.600 | Acc 0.570 mIoU 0.331:  60%|███████████████████████████                  | 59/98 [03:25<02:03,  3.18s/it]
TRAIN (0) | Loss: 2.594 | Acc 0.572 mIoU 0.333:  60%|███████████████████████████                  | 59/98 [03:28<02:03,  3.18s/it]
TRAIN (0) | Loss: 2.594 | Acc 0.572 mIoU 0.333:  61%|███████████████████████████▌                 | 60/98 [03:28<02:01,  3.20s/it]
